user_id,signup_date,trial_end_date,trial_length_days,age,country,gender,device_type,acquisition_channel,city_tier,preferred_plan_before_conversion,days_active_trial,sessions_count,avg_session_minutes,features_used,support_tickets,emails_opened,webinar_attended,payment_method_on_file,referred_friend,discount_offered_pct,plan_page_views,last_activity_gap_days,satisfaction_score,monthly_income_usd,converted_to_paid_plan,selected_plan
usr-00024,2025-09-11,2025-09-18,7,43.0,colombia,male,mobile,partner,tier_1,standard,4,9,24.7,13,2,3,1,0,0,25.0,3,7,9.5,877.0,0,none
usr-00025,2025-06-28,2025-07-12,14,30.0,argentina,female,tablet,partner,tier_3,standard,4,4,9.7,9,0,6,1,1,0,5.0,4,15,6.6,1616.0,0,none
usr-00026,2025-09-23,2025-10-07,14,33.0,colombia,male,mobile,partner,tier_1,standard,8,225,11.8,7,0,4,0,1,1,25.0,4,9,4.2,2685.0,1,premium
usr-00027,2025-08-22,09-05-2025,14,28.0,peru,prefer_not_to_say,desktop,organic search,tier_1,standard,11,25,14.1,9,0,7,0,1,0,15.0,4,5,7.7,1885.0,0,none
usr-00028,2025-02-11,2025-02-18,7,34.0,colombia,female,desktop,referral,tier_3,premium,6,11,26.0,6,1,5,0,1,0,0.0,3,6,9.6,831.0,0,none
usr-00029,2025-04-21,2025-05-05,14,24.0,peru,non_binary,desktop,organic search,tier_1,basic,14,37,3.5,12,3,8,0,0,1,10.0,0,6,6.6,988.0,1,standard
usr-00030,2025-01-12,2025-01-26,14,34.0,peru,male,mobile,partner,tier_1,basic,14,26,18.9,13,1,7,0,1,0,15.0,10,9,4.7,1800.0,0,none
usr-00031,2025-07-02,08-01-2025,30,34.0,colombia,male,mobile,email campaign,tier_1,premium,15,25,15.1,14,1,4,0,0,1,0.0,1,28,7.2,1061.0,0,none
usr-00032,2025-12-25,2026-01-01,7,26.0,colombia,non_binary,mobile,partner,tier_3,basic,1,2,2.8,6,0,4,1,1,0,20.0,3,5,9.2,1217.0,0,none
usr-00033,2025-08-29,2025-09-12,14,31.0,chile,female,desktop,partner,tier_2,premium,7,16,14.6,13,0,3,0,0,1,15.0,3,4,7.1,1458.0,0,none
usr-00034,2025-11-19,2025-12-03,14,41.0,ecuador,male,mobile,organic search,tier_1,basic,8,13,4.2,16,0,5,0,1,1,15.0,5,11,7.1,1458.0,1,standard
usr-00035,2025-08-10,2025-08-24,14,43.0,peru,male,mobile,referral,tier_3,basic,4,9,26.1,7,0,6,1,1,0,0.0,3,9,8.0,1620.0,1,basic
usr-00036,2025-02-27,2025-03-06,7,33.0,argentina,male,desktop,paid ads,tier_2,standard,3,3,6.5,11,2,2,0,0,0,0.0,1,11,7.1,1458.0,0,none
usr-00037,2025-03-13,2025-03-20,7,28.0,ecuador,male,tablet,social media,tier_3,basic,1,2,21.3,7,0,4,0,1,0,0.0,2,9,8.9,1836.0,0,none
usr-00038,2025-11-13,2025-11-20,7,36.0,colombia,female,desktop,partner,tier_3,basic,4,4,18.2,12,0,3,1,0,0,15.0,5,6,5.2,1844.0,0,none
usr-00039,2025-12-16,2026-01-15,30,30.0,ecuador,prefer_not_to_say,mobile,social media,tier_1,premium,7,21,16.3,13,0,7,0,0,0,20.0,1,30,6.8,856.0,0,none
usr-00040,19/08/2025,2025-09-09,21,49.0,ecuador,prefer_not_to_say,mobile,email campaign,tier_1,premium,17,24,6.2,16,1,4,1,0,0,20.0,4,17,8.7,2305.0,0,none
usr-00041,2025-06-05,2025-06-26,21,36.0,colombia,male,desktop,organic search,tier_3,basic,15,34,10.9,9,1,3,0,0,0,10.0,2,13,7.3,1730.0,0,none
usr-00042,2025-10-21,2025-11-11,21,18.0,colombia,female,desktop,organic search,tier_1,basic,14,19,20.6,8,1,12,1,1,0,25.0,4,9,9.0,1273.0,1,standard
usr-00043,2025-11-20,2025-12-20,30,47.0,peru,prefer_not_to_say,mobile,partner,tier_2,basic,21,41,13.3,12,0,10,0,1,0,0.0,9,22,4.3,1569.0,0,none
usr-00044,2025-10-29,2025-11-12,14,42.0,ecuador,male,mobile,organic search,tier_1,basic,1,2,18.6,5,0,4,0,1,0,10.0,1,14,7.1,1458.0,0,none
usr-00045,2025-03-12,2025-03-26,14,33.0,colombia,female,desktop,paid ads,tier_2,premium,4,7,8.0,6,0,9,0,0,0,15.0,3,12,6.2,793.0,0,none
usr-00046,19/03/2025,2025-04-02,14,38.0,chile,male,desktop,paid ads,tier_1,basic,5,7,20.3,12,1,5,0,0,0,20.0,3,9,5.7,1563.0,1,premium
usr-00047,2025-11-07,2025-11-21,14,44.0,colombia,female,mobile,paid ads,tier_1,basic,10,18,23.5,9,2,8,0,0,1,20.0,2,7,5.3,827.0,0,none
usr-00048,2025-06-29,2025-07-13,14,18.0,chile,male,tablet,social media,tier_1,basic,10,24,16.2,11,1,6,1,0,0,5.0,3,14,7.4,1946.0,0,none
usr-00049,2025-11-17,2025-12-17,30,41.0,peru,female,desktop,referral,tier_1,standard,8,16,14.1,4,0,7,0,0,0,15.0,2,20,6.8,2493.0,0,none
usr-00050,2025-11-25,2025-12-16,21,27.0,colombia,female,mobile,referral,tier_2,premium,11,24,14.1,12,0,6,0,1,0,15.0,3,11,6.8,717.0,1,standard
usr-00051,2025-03-06,2025-03-20,14,33.0,colombia,male,mobile,paid ads,tier_2,basic,11,17,6.8,4,0,5,1,0,0,10.0,5,10,7.7,938.0,1,basic
usr-00052,2025-08-20,2025-09-10,21,35.0,chile,female,mobile,paid ads,tier_2,standard,12,21,18.5,12,0,5,0,1,0,0.0,1,16,4.8,769.0,0,none
usr-00053,2025-01-28,2025-02-18,21,39.0,mexico,female,mobile,partner,tier_2,basic,18,30,21.5,6,0,6,0,0,0,5.0,6,12,7.1,1430.0,0,none
usr-00054,2025-01-10,2025-01-24,14,23.0,argentina,prefer_not_to_say,desktop,partner,tier_2,premium,9,13,3.6,7,0,12,0,0,0,15.0,3,1,7.9,994.0,1,standard
usr-00055,2025-03-29,2025-04-12,14,33.0,argentina,male,mobile,partner,tier_2,basic,4,7,20.0,10,2,7,0,1,0,10.0,4,12,10.0,574.0,0,none
usr-00056,2025-08-18,2025-09-01,14,28.0,chile,female,mobile,social media,tier_1,basic,7,12,21.0,9,1,3,0,1,0,0.0,3,8,5.9,250.0,0,none
usr-00057,2025-09-08,2025-09-22,14,37.0,mexico,male,mobile,organic search,tier_2,basic,4,10,16.1,9,0,6,1,1,0,10.0,0,12,6.7,750.0,1,standard
usr-00058,2025-12-30,2026-01-20,21,30.0,colombia,male,mobile,partner,tier_2,premium,12,11,8.3,10,1,4,0,0,0,5.0,2,11,5.3,1546.0,0,none
usr-00059,2025-05-22,2025-06-12,21,43.0,colombia,prefer_not_to_say,mobile,email campaign,tier_3,standard,11,16,101.3,12,0,5,0,1,0,10.0,3,10,7.1,1458.0,0,none
usr-00060,2025-05-05,2025-05-19,14,28.0,peru,female,mobile,organic search,tier_1,basic,14,29,12.2,15,0,5,0,0,0,5.0,5,7,4.9,804.0,0,none
usr-00061,2025-10-06,2025-10-20,14,28.0,colombia,female,mobile,organic search,tier_2,basic,12,27,14.7,9,1,10,1,0,0,0.0,3,2,10.0,702.0,0,none
usr-00062,2025-10-29,2025-11-12,14,34.0,peru,female,mobile,referral,tier_1,basic,9,16,8.5,11,1,3,1,0,0,15.0,6,14,8.5,1053.0,0,none
usr-00063,05/06/2025,2025-06-19,14,18.0,colombia,female,desktop,email campaign,tier_1,basic,9,21,10.6,8,1,8,0,0,0,25.0,4,7,7.4,2807.0,0,none
usr-00064,2025-05-22,2025-05-29,7,33.0,colombia,male,desktop,email_campaign,tier_2,premium,2,3,15.7,1,0,3,0,0,0,0.0,1,8,6.5,1402.0,1,basic
usr-00065,2025-04-20,2025-04-27,7,36.0,colombia,male,desktop,social media,tier_1,standard,3,6,10.8,6,0,5,1,1,0,10.0,3,8,8.5,995.0,0,none
usr-00066,2025-11-21,2025-12-05,14,33.0,chile,female,mobile,email campaign,tier_3,basic,12,18,24.3,11,1,3,1,0,0,15.0,2,7,7.1,1894.0,0,none
usr-00067,2025-12-14,2025-12-21,7,45.0,ecuador,male,mobile,social media,tier_1,standard,6,6,27.0,9,0,5,0,0,0,15.0,0,3,9.2,1045.0,0,none
usr-00068,2025-08-21,2025-09-04,14,18.0,argentina,male,desktop,organic search,tier_3,basic,9,15,8.7,8,1,6,1,1,0,0.0,4,10,6.3,1552.0,0,none
usr-00069,2025-12-04,2025-12-18,14,34.0,mexico,female,mobile,email campaign,tier_3,premium,6,8,17.5,12,0,2,0,1,0,20.0,6,15,8.6,1312.0,1,premium
usr-00070,2025-10-21,2025-11-04,14,31.0,mexico,male,desktop,partner,tier_1,standard,4,13,3.0,9,0,4,0,1,0,5.0,3,16,5.7,1746.0,0,none
usr-00071,2025-03-16,2025-03-30,14,33.0,chile,female,mobile,email campaign,tier_3,premium,7,8,3.4,8,2,2,1,1,1,10.0,3,4,6.4,2163.0,1,standard
usr-00072,2025-12-07,2025-12-21,14,25.0,colombia,female,mobile,email_campaign,tier_1,premium,10,16,14.4,9,0,9,0,0,0,20.0,7,10,6.5,1646.0,1,premium
usr-00073,2025-01-12,2025-02-02,21,38.0,colombia,male,mobile,partner,tier_1,standard,11,20,13.7,9,1,11,1,0,0,15.0,3,22,8.8,2002.0,1,standard
usr-00074,2025-10-04,2025-10-18,14,33.0,mexico,male,desktop,organic search,tier_1,basic,10,16,8.6,18,3,4,0,1,0,10.0,4,6,6.9,928.0,0,none
usr-00075,2025-09-16,2025-09-30,14,31.0,mexico,male,mobile,email campaign,tier_1,basic,6,12,14.1,10,0,3,0,0,0,0.0,3,12,7.0,2212.0,0,none
usr-00076,2025-01-14,2025-01-28,14,51.0,colombia,female,mobile,referral,tier_2,basic,11,19,7.5,11,2,6,0,1,0,15.0,6,4,7.5,712.0,1,premium
usr-00077,2025-11-03,2025-11-10,7,40.0,mexico,female,mobile,organic search,tier_1,basic,4,10,17.1,10,1,4,0,1,0,10.0,4,1,6.7,1705.0,0,none
usr-00078,2025-08-04,2025-08-18,14,19.0,colombia,female,tablet,social media,tier_2,premium,11,28,14.8,10,0,5,0,0,1,20.0,3,7,5.7,2286.0,1,standard
usr-00079,2025-08-16,09-06-2025,21,41.0,mexico,prefer_not_to_say,mobile,organic search,tier_1,standard,8,18,8.8,7,0,7,1,1,0,5.0,3,14,7.8,1554.0,0,none
usr-00080,2025-08-06,2025-09-05,30,26.0,colombia,male,desktop,organic search,tier_1,basic,18,28,21.8,14,0,13,0,0,0,0.0,5,26,4.2,946.0,0,none
usr-00081,2025-02-15,2025-03-01,14,37.0,chile,male,desktop,email campaign,tier_1,standard,8,8,12.9,6,4,9,0,1,1,20.0,8,15,10.0,1316.0,0,none
usr-00082,2025-07-06,2025-07-20,14,45.0,ecuador,male,mobile,social media,tier_2,premium,12,27,16.8,10,1,6,1,0,1,0.0,5,10,5.9,1619.0,0,none
usr-00083,2025-12-12,2025-12-26,14,32.0,peru,female,mobile,organic search,tier_1,standard,6,9,16.4,7,0,1,1,0,1,0.0,5,4,8.6,1246.0,1,standard
usr-00084,2025-05-12,2025-05-26,14,31.0,chile,prefer_not_to_say,desktop,referral,tier_2,premium,11,20,8.8,12,1,5,0,1,0,15.0,3,4,7.9,1324.0,1,premium
usr-00085,2025-09-06,2025-09-13,7,48.0,mexico,male,mobile,social media,tier_3,basic,7,6,8.8,4,0,8,0,0,0,0.0,4,6,6.6,723.0,0,none
usr-00086,2025-05-19,2025-06-18,30,34.0,chile,male,desktop,paid ads,tier_1,standard,7,14,16.9,9,0,4,0,0,0,10.0,2,25,7.8,1135.0,0,none
usr-00087,2025-12-03,2025-12-10,7,47.0,mexico,female,mobile,organic search,tier_1,basic,1,1,18.2,3,2,5,0,1,1,25.0,2,9,5.4,1254.0,0,none
usr-00088,31/05/2025,2025-06-07,7,28.0,colombia,male,desktop,partner,tier_3,basic,3,4,14.2,3,0,6,0,0,0,15.0,1,5,6.3,574.0,1,standard
usr-00089,2025-08-03,2025-08-10,7,39.0,peru,male,tablet,organic search,tier_2,standard,5,8,6.0,9,0,5,0,1,0,0.0,1,4,9.9,2323.0,0,none
usr-00090,2025-12-18,2026-01-17,30,40.0,colombia,male,desktop,email_campaign,tier_1,basic,11,21,17.9,6,3,4,0,0,0,20.0,6,18,7.1,1458.0,0,none
usr-00091,2025-09-28,10-12-2025,14,35.0,peru,prefer_not_to_say,mobile,paid ads,tier_1,standard,9,20,15.6,12,0,4,0,0,0,25.0,3,3,10.0,2593.0,0,none
usr-00092,07/05/2025,2025-05-21,14,39.0,peru,female,mobile,paid ads,tier_1,standard,7,13,22.5,12,1,5,1,0,0,15.0,0,13,7.2,250.0,0,none
usr-00093,2025-07-26,2025-08-25,30,40.0,colombia,male,mobile,partner,tier_1,basic,18,28,13.8,19,1,8,0,0,0,10.0,6,20,4.7,903.0,0,none
usr-00094,2025-01-06,2025-02-05,30,38.0,colombia,female,mobile,social media,tier_2,premium,16,30,16.2,14,2,6,0,0,0,10.0,3,20,6.7,1747.0,0,none
usr-00095,2025-07-20,2025-08-10,21,31.0,colombia,male,desktop,referral,tier_2,basic,11,16,10.9,8,1,9,0,0,1,25.0,6,12,8.5,2226.0,1,standard
usr-00096,2025-09-08,2025-09-22,14,42.0,peru,non_binary,mobile,partner,tier_2,premium,9,16,22.8,7,1,10,0,0,0,15.0,2,13,7.1,1458.0,0,none
usr-00097,2025-11-18,2025-12-02,14,27.0,mexico,female,mobile,referral,tier_3,basic,9,9,23.3,9,0,7,0,0,0,25.0,4,12,8.4,807.0,0,none
usr-00098,2025-08-03,2025-08-17,14,21.0,mexico,male,mobile,referral,tier_1,standard,12,23,14.1,11,0,10,0,0,0,0.0,7,9,9.5,1530.0,0,none
usr-00099,2025-10-05,2025-10-26,21,41.0,colombia,male,desktop,social media,tier_1,basic,7,6,13.1,15,1,11,0,0,0,15.0,5,22,5.3,2229.0,0,none
usr-00100,2025-01-03,2025-01-10,7,31.0,argentina,prefer_not_to_say,mobile,social media,tier_3,standard,4,13,5.2,12,1,5,0,1,0,10.0,3,5,8.1,2381.0,0,none
usr-00101,2025-08-10,2025-08-31,21,36.0,peru,male,desktop,partner,tier_1,standard,15,35,21.1,13,1,6,0,1,0,5.0,6,14,8.4,734.0,1,standard
usr-00102,2025-08-10,2025-08-31,21,38.0,colombia,male,mobile,partner,tier_1,standard,13,17,2.0,9,1,4,0,0,1,20.0,2,9,6.5,1111.0,0,none
usr-00103,2025-05-05,2025-05-12,7,28.0,argentina,male,mobile,paid ads,tier_2,premium,6,14,19.1,5,0,7,0,1,1,0.0,2,10,7.5,722.0,0,none
usr-00104,2025-07-20,2025-08-03,14,33.0,peru,male,tablet,partner,tier_2,basic,14,25,11.5,16,0,5,0,1,0,20.0,5,11,4.9,1653.0,0,none
usr-00105,14/08/2025,2025-08-28,14,27.0,mexico,male,desktop,partner,tier_1,basic,7,18,23.4,10,0,6,0,0,0,0.0,2,18,7.5,1852.0,0,none
usr-00106,2025-08-17,2025-08-31,14,36.0,mexico,female,desktop,email campaign,tier_1,premium,12,21,13.7,10,2,3,0,0,0,0.0,3,3,7.3,1091.0,0,none
usr-00107,2025-08-15,2025-09-05,21,30.0,ecuador,female,mobile,referral,tier_1,basic,14,29,11.4,14,0,6,1,0,0,20.0,3,5,4.2,990.0,0,none
usr-00108,06/01/2025,2025-01-20,14,43.0,chile,male,mobile,referral,tier_1,standard,13,26,16.0,9,1,7,0,0,1,0.0,4,9,5.2,1658.0,1,premium
usr-00109,2025-09-07,2025-10-07,30,33.0,colombia,male,mobile,referral,tier_1,standard,1,1,6.1,7,2,3,0,1,1,0.0,3,32,5.3,1423.0,0,none
usr-00110,2025-03-11,2025-03-18,7,39.0,ecuador,male,desktop,paid ads,tier_2,standard,6,16,19.1,10,1,3,0,1,0,10.0,2,9,7.7,580.0,0,none
usr-00111,2025-06-11,2025-06-25,14,32.0,mexico,male,tablet,paid ads,tier_2,basic,10,9,11.5,7,0,8,0,0,0,10.0,5,16,5.8,250.0,0,none
usr-00112,2025-08-05,2025-08-19,14,34.0,chile,male,desktop,social media,tier_3,premium,10,15,21.1,9,1,4,0,0,0,0.0,2,15,8.8,1351.0,1,standard
usr-00113,2025-11-10,2025-11-17,7,47.0,peru,male,desktop,organic search,tier_1,basic,3,5,14.6,7,0,3,0,0,0,10.0,4,0,7.7,1189.0,0,none
usr-00114,2025-04-06,04-20-2025,14,18.0,ecuador,female,mobile,partner,tier_3,premium,7,13,20.0,9,2,4,1,0,0,20.0,4,14,7.1,1458.0,0,none
usr-00115,2025-01-25,2025-02-15,21,42.0,chile,female,mobile,organic search,tier_3,premium,10,20,11.1,21,0,4,0,0,0,15.0,1,13,6.0,2153.0,0,none
usr-00116,2025-09-03,2025-09-17,14,18.0,ecuador,male,tablet,email_campaign,tier_1,basic,13,24,7.9,17,1,7,0,0,1,5.0,2,11,7.2,989.0,0,none
usr-00117,2025-10-02,2025-10-16,14,23.0,chile,prefer_not_to_say,desktop,social media,tier_3,basic,3,6,8.1,9,0,4,0,0,0,0.0,2,11,7.1,1123.0,0,none
usr-00118,2025-12-07,2026-01-06,30,44.0,ecuador,female,desktop,partner,tier_1,premium,13,30,27.7,10,0,8,1,0,1,0.0,4,21,8.8,1765.0,0,none
usr-00119,2025-11-01,2025-11-22,21,41.0,mexico,male,mobile,partner,tier_1,basic,20,39,4.1,17,1,5,1,0,0,0.0,5,8,6.9,1224.0,0,none
usr-00120,2025-05-04,2025-05-11,7,23.0,mexico,female,desktop,email campaign,tier_3,standard,7,15,21.0,8,2,11,0,1,0,5.0,2,5,8.3,1652.0,1,basic
usr-00121,2025-09-18,2025-10-18,30,32.0,colombia,female,mobile,partner,tier_1,standard,1,1,23.2,2,1,1,0,1,1,20.0,2,26,3.3,2063.0,0,none
usr-00122,2025-09-04,2025-09-11,7,20.0,colombia,female,desktop,social media,tier_3,basic,3,3,13.6,6,0,6,0,0,0,0.0,2,6,8.4,2217.0,0,none
usr-00123,2025-12-31,2026-01-21,21,32.0,argentina,male,mobile,social media,tier_2,basic,4,6,8.9,6,0,7,0,0,0,0.0,2,19,3.6,2016.0,0,none
usr-00124,2025-04-28,2025-05-19,21,23.0,colombia,female,desktop,organic search,tier_2,basic,18,35,14.1,16,1,4,0,0,0,0.0,4,3,9.9,2487.0,1,basic
usr-00125,2025-08-05,2025-08-12,7,24.0,ecuador,female,mobile,email campaign,tier_1,basic,1,3,28.7,5,1,4,0,1,0,15.0,0,4,8.8,1547.0,0,none
usr-00126,2025-02-16,2025-02-23,7,26.0,colombia,female,mobile,email campaign,tier_1,basic,3,7,20.2,9,1,2,1,0,0,15.0,3,2,7.8,418.0,0,none
usr-00127,2025-06-21,2025-07-05,14,30.0,mexico,male,desktop,referral,tier_2,basic,8,20,14.1,15,1,4,0,1,0,20.0,2,4,6.3,571.0,0,none
usr-00128,2025-05-27,2025-06-03,7,35.0,colombia,male,desktop,partner,tier_2,premium,1,2,12.6,5,0,8,0,1,1,10.0,3,6,7.5,1192.0,1,standard
usr-00129,2025-11-11,2025-11-18,7,30.0,chile,female,mobile,partner,tier_1,standard,3,1,20.9,5,0,6,0,1,0,0.0,3,11,5.6,531.0,0,none
usr-00130,2025-08-04,2025-08-18,14,33.0,peru,male,mobile,paid ads,tier_3,standard,8,13,10.4,11,2,5,1,1,0,0.0,4,14,7.1,1458.0,0,none
usr-00131,2025-10-28,2025-11-11,14,56.0,chile,male,desktop,social media,tier_2,basic,4,5,7.7,8,1,4,0,0,0,0.0,1,16,7.1,1458.0,0,none
usr-00132,2025-05-06,2025-05-20,14,20.0,colombia,male,mobile,paid ads,tier_1,standard,11,21,21.5,10,2,4,0,0,0,0.0,1,10,7.3,544.0,0,none
usr-00133,2025-11-25,2025-12-16,21,26.0,ecuador,female,mobile,email campaign,tier_1,standard,5,13,9.0,5,1,4,0,1,1,10.0,2,21,4.4,474.0,0,none
usr-00134,2025-10-03,2025-10-24,21,31.0,peru,female,desktop,paid ads,tier_1,standard,12,20,21.2,12,1,6,1,1,0,20.0,6,18,7.2,939.0,0,none
usr-00135,2025-03-24,04-07-2025,14,25.0,chile,male,mobile,social media,tier_1,basic,5,13,19.9,14,1,4,0,1,0,0.0,3,9,9.5,1343.0,0,none
usr-00136,2025-04-26,05-17-2025,21,27.0,colombia,male,desktop,paid ads,tier_2,premium,14,25,9.3,13,0,7,1,1,1,25.0,2,12,7.5,278.0,1,premium
usr-00137,2025-07-11,07-18-2025,7,31.0,peru,male,desktop,organic search,tier_3,basic,2,3,15.3,9,1,6,0,0,0,15.0,0,3,5.9,1814.0,0,none
usr-00138,2025-04-07,2025-04-14,7,34.0,colombia,male,mobile,organic search,tier_3,standard,3,3,19.2,8,0,6,0,0,0,10.0,2,9,7.8,1622.0,0,none
usr-00139,2025-11-30,2025-12-21,21,29.0,colombia,female,desktop,organic search,tier_1,basic,16,35,155.8,11,0,14,0,0,0,15.0,3,13,7.0,546.0,0,none
usr-00140,2025-02-23,2025-03-09,14,31.0,peru,male,mobile,organic search,tier_1,standard,5,9,5.7,9,1,2,0,1,1,15.0,1,5,6.5,621.0,1,standard
usr-00141,2025-04-07,2025-04-21,14,36.0,mexico,male,mobile,email campaign,tier_1,basic,6,11,2.0,20,2,6,0,0,0,10.0,1,1,9.2,1616.0,0,none
usr-00142,10/02/2025,2025-02-24,14,26.0,peru,female,mobile,paid ads,tier_2,basic,7,6,10.8,6,1,6,1,0,0,0.0,6,9,6.8,281.0,0,none
usr-00143,2025-08-05,2025-08-26,21,35.0,colombia,female,mobile,organic search,tier_2,basic,13,26,20.7,12,0,9,0,0,0,10.0,2,16,10.0,975.0,0,none
usr-00144,2025-06-03,2025-07-03,30,22.0,argentina,female,desktop,organic search,tier_3,basic,22,34,13.3,13,1,5,0,1,0,20.0,10,25,6.2,1587.0,1,standard
usr-00145,2025-05-03,2025-05-24,21,29.0,peru,female,desktop,paid ads,tier_1,basic,9,18,15.5,11,1,6,0,0,0,10.0,6,11,5.5,1873.0,0,none
usr-00146,2025-05-25,2025-06-08,14,44.0,argentina,female,tablet,organic search,tier_3,standard,9,16,17.3,11,0,4,0,0,0,5.0,3,6,6.2,2381.0,0,none
usr-00147,2025-12-08,2025-12-22,14,36.0,colombia,male,mobile,paid ads,tier_1,basic,10,19,2.0,13,0,3,0,0,0,20.0,5,9,7.1,1893.0,0,none
usr-00148,2025-02-01,2025-02-08,7,47.0,colombia,female,desktop,email campaign,tier_3,basic,4,10,23.5,13,2,2,0,0,0,10.0,2,0,6.9,1144.0,0,none
usr-00149,2025-09-12,2025-10-03,21,24.0,chile,male,desktop,organic search,tier_2,standard,13,16,13.4,12,2,8,0,0,1,5.0,5,16,8.2,523.0,0,none
usr-00150,2025-08-25,2025-09-01,7,29.0,ecuador,male,desktop,social media,tier_2,standard,1,2,13.2,6,0,4,1,0,0,0.0,2,8,7.1,1458.0,0,none
usr-00151,2025-11-03,2025-11-17,14,39.0,mexico,male,mobile,paid_ads,tier_1,basic,9,12,13.2,9,0,10,0,1,0,0.0,4,9,6.8,250.0,0,none
usr-00152,13/12/2025,2025-12-27,14,22.0,argentina,male,mobile,partner,tier_3,standard,3,4,17.8,10,1,9,0,1,1,10.0,1,6,5.7,302.0,0,none
